Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Total Cases/1 Population
China,81008,41,3255,7,71740,6013,1927,56
,,,,,,,,
Italy,53578,6557,4825,793,6072,42681,2857,886
,,,,,,,,
Spain,25374,3803,1378,285,2125,21871,1612,543
,,,,,,,,
USA,24142,4759,288,32,171,23683,64,73
,,,,,,,,
Germany,22213,2365,84,16,209,21920,2,265
,,,,,,,,
Iran,20610,966,1556,123,7635,11419,,245
,,,,,,,,
France,14459,1847,562,112,1587,12310,1525,222
,,,,,,,,
SKorea,8799,147,102,8,2612,6085,59,172
,,,,,,,,
Switzerland,6665,1050,75,19,15,6575,141,770
,,,,,,,,
UK,5018,1035,233,56,93,4692,20,74
,,,,,,,,
Netherlands,3631,637,136,30,2,3493,354,212
,,,,,,,,
Austria,2948,299,8,2,9,2931,15,327
,,,,,,,,
Belgium,2815,558,67,30,263,2485,288,243
,,,,,,,,
Norway,2142,183,7,,6,2129,28,395
,,,,,,,,
Sweden,1764,125,20,4,16,1728,69,175
,,,,,,,,
Denmark,1326,71,13,4,1,1312,42,229
,,,,,,,,
Portugal,1280,260,12,6,5,1263,26,126
,,,,,,,,
Canada,1205,118,18,6,14,1173,1,32
,,,,,,,,
Malaysia,1183,153,8,5,114,1061,26,37
,,,,,,,,
Australia,1072,144,7,,46,1019,2,42
,,,,,,,,
Japan,1046,39,36,1,215,795,55,8
,,,,,,,,
Brazil,1028,58,18,7,2,1008,18,5
,,,,,,,,
Czechia,995,162,,,6,989,7,93
,,,,,,,,
Turkey,947,277,21,12,,926,,11
,,,,,,,,
Israel,883,178,1,,36,846,15,102
,,,,,,,,
Ireland,785,102,3,,5,777,6,159
,,,,,,,,
Pakistan,734,233,3,,13,718,,3
,,,,,,,,
DiamondPrincess,712,,8,,567,137,15,
,,,,,,,,
Luxembourg,670,186,8,3,6,656,3,1070
,,,,,,,,
Chile,537,103,,,8,529,7,28
,,,,,,,,
Poland,536,111,5,,13,518,3,14
,,,,,,,,
Greece,530,35,13,3,19,498,20,51
,,,,,,,,
Finland,523,73,1,1,10,512,2,94
,,,,,,,,
Ecuador,506,80,7,,3,496,2,29
,,,,,,,,
Qatar,481,11,,,27,454,6,167
,,,,,,,,
Iceland,473,64,1,1,5,467,1,1386
,,,,,,,,
Indonesia,450,81,38,6,20,392,,2
,,,,,,,,
Singapore,432,47,2,2,140,290,14,74
,,,,,,,,
Thailand,411,89,1,,44,366,7,6
,,,,,,,,
SaudiArabia,392,48,,,16,376,,11
,,,,,,,,
Slovenia,383,42,1,,,382,12,184
,,,,,,,,
Romania,367,59,,,52,315,14,19
,,,,,,,,
India,332,83,5,,23,304,,2
,,,,,,,,
Peru,318,55,5,1,1,312,5,10
,,,,,,,,
Bahrain,310,12,1,,125,184,4,182
,,,,,,,,
Philippines,307,77,19,1,13,275,1,3
,,,,,,,,
Russia,306,53,1,,16,289,,2
,,,,,,,,
